model,direct_f1,hop_f1,query_builder_f1,impossible_f1,all_without_impossible_prf,all_with_impossible_prf
devstral-2:123b-cloud,0.8953216374269006,0.5106216628527841,0.23593729386832835,0.26666666666666666,0.887/0.536/0.529,0.764/0.628/0.477
gemini-3-flash-preview:cloud,0.876780185758514,0.5869054682033336,0.7685511838224858,0.23333333333333334,0.789/0.845/0.745,0.678/0.876/0.644
glm-4.7:cloud,0.889327485380117,0.5947368421052632,0.7173588520307366,0.13333333333333333,0.754/0.836/0.733,0.631/0.869/0.614
gpt-oss:120b-cloud,0.7651039363113666,0.27555630606647136,0.6186568051033349,0.26666666666666666,0.762/0.616/0.557,0.664/0.693/0.499
kimi-k2.5:cloud,0.9070175438596492,0.669757143441354,0.690743501957733,0.13333333333333333,0.753/0.833/0.752,0.630/0.866/0.629
nemotron-3-nano:30b-cloud,0.16666666666666666,0.081328320802005,0.0762962962962963,0.7666666666666667,0.919/0.098/0.106,0.889/0.277/0.237
qwen3-coder-next:cloud,0.47017543859649125,0.20657894736842106,0.39904155733942964,0.8333333333333334,0.824/0.408/0.361,0.826/0.525/0.455
qwen3.5:cloud,0.5912280701754385,0.23289473684210527,0.40013753806857255,0.5,0.949/0.413/0.408,0.859/0.530/0.426
