model,input_per_1m,output_per_1m
devstral-2:123b-cloud,0.4,2
gemini-3-flash-preview:cloud,0.5,3
glm-4.7:cloud,0.6,2.2
gpt-oss:120b-cloud,0.09,0.36
kimi-k2.5:cloud,0.5,2.4
nemotron-3-nano:30b-cloud,0.05,0.2
qwen3-coder-next:cloud,0.12,0.75
qwen3.5:cloud,0.4,2.4
