model,questions,mean_f1_without_impossible,mean_f1_with_impossible,mean_est_cost_per_q_usd,mean_elapsed_s_per_q
devstral-2:123b-cloud,151,0.5292811870636595,0.4771061167861112,0.014421737748344371,12.263224206443889
gemini-3-flash-preview:cloud,151,0.7454946952277858,0.643740782268623,0.0376512619602649,57.73005063461436
glm-4.7:cloud,151,0.7328561387258479,0.6137456475882622,0.017420446649006625,38.34504045912493
gpt-oss:120b-cloud,151,0.5568978961984126,0.49923606251660874,0.008340660476821192,32.983316848261914
kimi-k2.5:cloud,151,0.7520735182275712,0.6291450046724245,0.020792750066225166,66.94939756541457
nemotron-3-nano:30b-cloud,151,0.10625737898465172,0.23746452223273412,0.012120239735099339,62.496555189613645
qwen3-coder-next:cloud,151,0.36093832022265293,0.45479163408570195,0.010470334278145697,64.91625242360516
